rank,total,경제민주화,교통건축국토,기타,농산어촌,문화예술체육언론,미래,반려동물,보건복지,성장동력,안전환경,외교통일국방,육아교육,인권성평등,일자리,저출산고령화대책,정치개혁,행정
1,공의,구현,구현,구현,촛불,불의,여긴,바탕,만인,상식,구현,독선,만인,구현,평등,평화,공의,구현
2,공정,구호,만인,법치,인권,삽,권선징악,조장,입각,존중,공의,강자,출발점,공의,공정,자국민,구현,공의
3,정의로운,만인,공평,갈망,주권,구현,조자,세분,공화국,이성,민중,건전,구현,법질서,구현,공정,공정,공정
4,권선징악,공서,반칙,공의,민주,사제단,구현,제시,공정,기득,기강,우연,수호,첩경,정당화,애국,준법정신,반칙
5,부정의,공의,공의,법질서,평등,강자,법치주의,비상식,개법,대립,사법부,공정,주창,솔로몬,함의,민주,여신상,좌지우지
6,법언,승승,박수,법치주의,탄생,민중,감수성,세계인,공평,관행,입법부,공정성,표방,여신상,주권자,부강,사제단,배신
7,구현,반칙,추상,여신상,응원,평등,공의,과학,다복,추구,법치,법치주의,평등,실현,다수결,잡종,법치주의,근간
8,법치,불의,취임사,신의칙,권력,타협,결백,대중,법치주의,이념,법치주의,물음,승복,법치국,공평,후손,수호자,법치주의
9,배신행위,실천,특권,불의,역사,백계,공평,빌미,공산주의,강자,만인,참패,대한,순리,취임사,서양,정의로운,여신상
10,악은,정화,저것,련지,자존심,천주교,업보,희석,초석,믿음,악인,내신,공의,응징,용단,구성원,법치,불의
11,공공선,수호,성문법,사필,통일,건데요,당자,구시대,사회주의,옹호,저울,정직,취임사,초석,염원,비판,강직,공명정대
12,반함,당도,심상,다수결,외교,약자,단죄,퇴색,싸가지,지도층,다수결,낯,통념,보루,균등,반대,공정성,민권
13,고영주,어딨나,표방,폐망,현명,법치주의,혜양,모방,자유민주주의,치부,수호자,개헌안,법치주의,국법,승복,암울,로망,규범
14,정당화,법치주의,입각,반칙,약자,공정,지도층,명분,부조리,공감,애국,정반대,민주주의,싹,묵과,민중,속물,준법정신
15,누설자,표방,법질서,보루,간첩,취임사,공정,공정,구현,주제,행정부,국가주의,승리,런지,냉정,지수,자기반성,동북
16,원내정당,법질서,축출,망각,적패,강타,신성,처우,적패,질서,중시,자유사상,진리,공정,룰,존속,승복,법치
17,박애,통념,구태,귀정,눈치,특권,시체,관습,민주주의,법치,수호,궤변,숙의,심판대,진리,실현,척도,포퓰리즘
18,민주,포용,법치,부끄럼,존엄,애국,당도,민법,결실,걸까요,처단,정답,씨앗,법치,민주주의,직결,자화상,기치
19,제일주의,공정,애국,법치국,기원,통념,규범,다양,말살,반칙,원외,균등,부자유,강물,시발점,재단,박아,강자
20,작폐,굴복,공헌,총론,건지,혼탁,구태,본질,답습,공직,응징,정략,반증,딜레마,먼저,부합,거역,인민
21,대명제,공정성,불소급,국민대표,안보,방종,무지한,인격,퇴보,착각,심판,폄훼,염치,권선징악,거래법,전락,부끄럼,자유민주주의
22,미당,실현,근간,불명예,욕,구호,방종,육류,불변,성숙,풍토,당리당략,기회균등,진리,반칙,오늘날,경종,현주소
23,대한민국,걸음,국민주,민주주의,장난,공화국,재물,채식주의,민주,자유민주주의,방종,쟁취,파괴,경외,법치주의,활,부판사,실감
24,실현,성숙,직시,수호,민국,타락,뼈,상정,법치,표현,후퇴,아량,예우,소시민,물정,화합,철칙,풍조
25,자화상,청렴,민주주의,근간,존중,자유민주주의,가연,하위,통념,풍토,공직,자유민,덕목,영원,워,진심,우선시,결여
26,매요,민중,토지개혁,악습,국정,탄생,만인,언급,기득권,진실,부조리,결집,우선시,저울,관료주의,소아,촛농,자본주의
27,진면목,민주,법치주의,근면,노고,원칙,냉정,현상,거래법,불신,면죄,박애,슬로건,첫발,괴,헌신,땅바닥,만인
28,통일법,일소,조세,금권,상식,객관성,평등,문구,우위,중시,페란,매몰,불합리,명심,수결,노년,갈구,경험칙
29,빈말,먼저,통치,기치,의식,속박,관행,미흡,인도주의,견해,민주,융단,초석,입법부,기치,찬성,갈망,모토
30,참모습,주창,텐가,소임,정치,실현,버러지,측면,발짝,수호,개떡,가라,자주,자처,압승,지름길,만민,표방
31,저폐,함의,구호,해악,세상,반역자,진리,도태,잣대,대항,동아줄,충고,소망,안도감,표방,애국자,자기편,걸음
32,어딨나,첩경,정당,능멸,좌파,일벌,먼저,수렴,이념,조심,공산주의,심상,주권,만인,시늉,정치인,공명정대,행정가
33,균점,철학,고마움,밑바탕,조선,슬로건,엿,주관,도약,철학,기틀,실장,싹,시민운동,입각,분노,독초,법전
34,청빈,초심,사고방식,환상,감동,구태,슬로건,억지,기회균등,좌지우지,원칙,정파,파장,갈망,쟁취,자유민주주의,악인,법체계
35,법치국,타협,지도자,도외,사랑,야,잘잘못,살상,역차,오해,자유민주주의,구설수,효도,기틀,존중,생존,위선,개법
36,정대,다수결,현정,공정,용기,야만,관례,진화,훌,서로,구태,비설,장천,천명,오점,서도,몰각,추상
37,장조,기강,평등,출발점,게시판,민주,투영,취지,민족,정서,공정,대타협,이바지,방점,이재경,정당,공공선,니들
38,위언,공직,겔,좌지우지,격려,민주주의,몽둥이,동법,성숙,청렴,집행자,만이,자유주의,경종,귀결,혈통,보루,명심
39,인내천,만민,특권층,초심,직결,기강,선처,긍정,이방인,도덕,정청,소명,이념,개법,정당,약화,화입,칼날
40,훼절,밑거름,포용,만국,안심,종말,민초,단계,순리,무시,법조인,무었인지,불의,냉정,남북통일,느낌,연지,정형식
41,첩경,항쟁,초딩,만인,청산,단죄,사법부,범주,정치가,구호,범재,잣대,밑거름,국민주,정치권력,퇴출,정판,태생
42,천칭,법치,회의감,철퇴,주목,박근혜,부정과,악의,평등,사익,고위급,심사숙고,사회악,한통속,각인,공론,현주소,배반
43,부판사,예우,자유민주주의,논거,건승,죄,적패,만인,인륜,노예,눈꼽,묵과,역설,염원,정대,진정,몸부림,맹세
44,진일보,일말,만천하,결단력,공감,주권자,폭력배,악법,대범,기득권,성취,열심,이데올로기,건지요,온정,추구,아량,입각
45,존영,열망,역진,풀뿌리,남북,자처,버리,준수,열망,의식,세간,이치,지향,당여,포퓰리즘,흐름,개잡놈,중시
46,정서법,상통,매국노,열망,봉사자,잣대,강자,이외,선조,집단,잣대,만인,찬사,깨달음,저주,공동체,가책,통념
47,법치행정,아집,수호,저들,수석,번즈,득세,대통령령,타협,민주주의,통용,몰표,합치,마침표,탄원,도모,좌고,당적
48,분노함,가치관,청렴,출세,대우,귀정,음해,상응,발돋움,민주국,겸허,법치,불공평,엄단,명심,인류,열망,진데
49,개잡놈,적패,박주,인과응보,노무현,도리,소시민,제고,판검사,뿌리,미풍양속,국가관,통탄,군더더기,의구심,먹구름,첫발,염원
50,주권주의,후세대,국법,정립,신뢰,죄인,족속,혐오감,대한,안일,단죄,겸손,실익,불변,항거,불,선량,공헌
